carat,depth,table,price,cut_b'Good',cut_b'Ideal',cut_b'Premium',cut_b'Very Good',color_b'E',color_b'F',color_b'G',color_b'H',color_b'I',color_b'J',clarity_b'IF',clarity_b'SI1',clarity_b'SI2',clarity_b'VS1',clarity_b'VS2',clarity_b'VVS1',clarity_b'VVS2'
0.23,61.5,55.0,326.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.21,59.8,61.0,326.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.23,56.9,65.0,327.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.29,62.4,58.0,334.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0.31,63.3,58.0,335.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.24,62.8,57.0,336.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0.24,62.3,57.0,336.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0.26,61.9,55.0,337.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0.22,65.1,61.0,337.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.23,59.4,61.0,338.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0.3,64.0,55.0,339.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.23,62.8,56.0,340.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.22,60.4,61.0,342.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.31,62.2,54.0,344.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.2,60.2,62.0,345.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.32,60.9,58.0,345.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.3,62.0,54.0,348.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0.3,63.4,54.0,351.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.3,62.7,59.0,351.0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0.3,63.3,56.0,351.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
